2.0,"2019-08-06 13:20:22.000000","2019-08-06 13:33:15.000000",1.0,0.96,1.0,N,118.0,118.0,1.0,9.0,0.0,0.5,0.98,0.0,0.3,10.78,0.0
2.0,"2019-08-06 13:36:23.000000","2019-08-06 13:39:26.000000",1.0,0.57,1.0,N,118.0,118.0,2.0,4.0,0.0,0.5,0.0,0.0,0.3,4.8,0.0
2.0,"2019-08-06 19:22:38.000000","2019-08-06 19:56:14.000000",1.0,25.34,1.0,N,132.0,118.0,2.0,66.0,1.0,0.5,0.0,12.24,0.3,80.04,0.0
2.0,"2019-08-06 21:40:43.000000","2019-08-06 22:08:05.000000",5.0,14.34,1.0,N,209.0,118.0,1.0,40.5,0.5,0.5,14.14,12.24,0.3,70.68,2.5
1.0,"2019-08-06 22:18:55.000000","2019-08-06 23:11:20.000000",1.0,24.7,1.0,N,170.0,118.0,1.0,68.5,3.0,0.5,12.4,18.36,0.3,103.06,2.5
2.0,"2019-08-07 01:09:20.000000","2019-08-07 01:45:33.000000",1.0,17.3,1.0,N,231.0,118.0,1.0,50.5,0.5,0.5,13.31,12.24,0.3,79.85,2.5
2.0,"2019-08-07 14:48:26.000000","2019-08-07 16:07:43.000000",1.0,32.7,1.0,N,244.0,118.0,2.0,90.0,0.0,0.5,0.0,13.25,0.3,104.05,0.0
2.0,"2019-08-07 16:27:26.000000","2019-08-07 17:34:22.000000",1.0,18.12,1.0,N,161.0,118.0,1.0,57.0,1.0,0.5,15.93,18.36,0.3,95.59,2.5
2.0,"2019-08-07 16:30:52.000000","2019-08-07 18:00:53.000000",5.0,27.57,1.0,N,132.0,118.0,2.0,80.0,1.0,0.5,0.0,12.24,0.3,94.04,0.0
1.0,"2019-08-07 17:42:59.000000","2019-08-07 19:34:35.000000",1.0,25.2,1.0,N,138.0,118.0,2.0,84.5,1.0,0.5,0.0,12.24,0.3,98.54,0.0
1.0,"2019-08-07 17:50:22.000000","2019-08-07 19:07:34.000000",2.0,24.2,1.0,N,132.0,118.0,1.0,69.0,1.0,0.5,4.0,12.24,0.3,87.04,0.0
2.0,"2019-08-07 18:28:53.000000","2019-08-08 00:00:00.000000",1.0,28.72,1.0,N,132.0,118.0,2.0,80.0,1.0,0.5,0.0,12.24,0.3,94.04,0.0
1.0,"2019-08-07 22:26:52.000000","2019-08-07 23:09:25.000000",2.0,16.8,1.0,N,186.0,118.0,2.0,49.5,3.0,0.5,0.0,18.36,0.3,71.66,2.5
2.0,"2019-08-07 22:36:28.000000","2019-08-07 23:17:38.000000",1.0,16.41,1.0,N,186.0,118.0,2.0,48.0,0.5,0.5,0.0,18.36,0.3,70.16,2.5
1.0,"2019-08-07 23:14:40.000000","2019-08-08 00:04:50.000000",1.0,21.9,1.0,N,233.0,118.0,1.0,63.5,0.5,0.5,7.0,18.36,0.3,90.16,0.0
2.0,"2019-08-08 00:49:43.000000","2019-08-08 01:30:48.000000",1.0,27.64,1.0,N,132.0,118.0,2.0,73.5,0.5,0.5,0.0,12.24,0.3,87.04,0.0
2.0,"2019-08-08 14:24:30.000000","2019-08-08 15:38:03.000000",1.0,25.67,1.0,N,229.0,118.0,1.0,75.0,0.0,0.5,0.0,18.36,0.3,96.66,2.5
1.0,"2019-08-08 16:30:20.000000","2019-08-08 17:34:44.000000",1.0,25.3,1.0,N,132.0,118.0,1.0,70.0,1.0,0.5,16.8,12.24,0.3,100.84,0.0
2.0,"2019-08-08 19:30:05.000000","2019-08-08 20:16:00.000000",1.0,19.09,1.0,N,164.0,118.0,1.0,54.5,1.0,0.5,23.15,18.36,0.3,100.31,2.5
2.0,"2019-08-09 00:10:22.000000","2019-08-09 00:54:21.000000",2.0,27.26,1.0,N,132.0,118.0,2.0,73.0,0.5,0.5,0.0,12.24,0.3,86.54,0.0
2.0,"2019-08-09 02:35:16.000000","2019-08-09 02:35:33.000000",1.0,0.0,5.0,N,118.0,118.0,1.0,120.0,0.0,0.0,12.0,0.0,0.3,132.3,0.0
2.0,"2019-08-09 09:50:31.000000","2019-08-09 10:26:40.000000",2.0,12.0,1.0,N,14.0,118.0,1.0,38.5,0.0,0.5,0.0,12.24,0.3,51.54,0.0
2.0,"2019-08-09 20:34:28.000000","2019-08-09 21:16:42.000000",1.0,23.93,1.0,N,237.0,118.0,1.0,64.5,0.5,0.5,21.66,18.36,0.3,108.32,2.5
2.0,"2019-08-09 21:18:46.000000","2019-08-09 22:00:31.000000",1.0,18.74,1.0,N,88.0,118.0,1.0,53.5,0.5,0.5,13.91,12.24,0.3,83.45,2.5
2.0,"2019-08-09 22:56:27.000000","2019-08-09 23:58:48.000000",1.0,25.32,1.0,N,138.0,118.0,1.0,74.5,0.5,0.5,26.41,12.24,0.3,114.45,0.0
1.0,"2019-08-09 22:06:30.000000","2019-08-09 23:05:23.000000",1.0,22.7,1.0,N,170.0,118.0,1.0,67.0,3.0,0.5,6.5,12.24,0.3,89.54,2.5
1.0,"2019-08-09 23:52:43.000000","2019-08-10 00:48:40.000000",2.0,21.4,1.0,N,164.0,118.0,1.0,63.0,3.0,0.5,3.0,21.0,0.3,90.8,2.5
2.0,"2019-08-10 10:43:16.000000","2019-08-10 11:46:42.000000",1.0,23.49,1.0,N,239.0,118.0,1.0,68.5,0.0,0.5,22.54,18.36,0.3,112.7,2.5
2.0,"2019-08-10 11:37:41.000000","2019-08-10 12:52:36.000000",1.0,29.55,1.0,N,145.0,118.0,1.0,85.0,0.0,0.5,0.0,12.24,0.3,98.04,0.0
